GeneSymbol	T_cell	Endothelial_cell	B_cell	Fibroblast	Cancer_cell	Myeloid_cell	Mast_cell	pDC
BRCA2	1	1	1	1	1	1	1	92.6904865838191
BSPRY	1	1	1	1	120.516609140363	1	1	1
BST1	1	1	1	1	1	71.7756934489325	1	1
BTAF1	1	1	1	1	1	1	1	268.559348787078
BTBD10	1	86.455018325698	1	1	58.1038018431019	1	169.691202669412	1
BTK	1	1	402.402792402698	1	1	123.868294813498	676.883374520274	263.53557022884
BTLA	1	1	196.805091238347	1	1	1	1	130.849918920062
BTN2A2	1	1	157.82466300953	1	1	1	242.255565542005	75.8208344000867
BTN3A1	282.412271366602	70.7636243048957	159.780428426793	1	1	1	147.920448954339	1
BTN3A3	203.387966208732	81.2671473433078	1	1	1	1	110.610772690751	1
BTNL9	1	1055.40367685147	1	1	1	1	1	1
C11orf1	1	1	1	1	165.31736095361	1	1	89.5076235196847
C11orf49	1	1	1	63.173769014628	73.8485160046231	1	182.398735347961	1
C11orf96	1	1	1	87.3441981316314	1	1	1	1
C12orf45	1	1	1	1	92.3064064743617	114.859976303176	1	391.0837231543
C12orf65	181.010654064622	1	165.086071554675	1	60.2517111191398	1	1	1
C15orf39	1	1	1	1	1	1	1	199.660045704476
C15orf48	1	1	1	1	119.681233785614	1723.76021483916	1	1
C15orf61	151.887126827161	77.4367902661076	1	159.028468698003	118.358434213628	1	512.519584535454	102.03242825732
C16orf54	157.463011459518	1	1	1	1	1	1	1
C16orf74	1	1	1	1	128.954537706306	1	1	1
C17orf58	1	1	1	1	101.232243207658	1	1	1
C18orf25	1	1	1	1	1	1	1	80.9154365860766
C19orf33	1	1	1	1	96.3026008347609	1	1	1
C19orf38	1	1	1	1	1	90.1547974660576	1	1
C19orf48	1	1	1	1	119.722999089064	1	1	1
C1orf115	1	91.6547033808237	1	1	1	1	1	1
C1orf123	1	156.070970969209	1	192.971591898228	128.112139162978	82.5129117955882	263.974865301229	1
C1orf162	1	1	230.196607637173	1	1	1103.50858699479	865.500202244448	325.977528507134
C1orf54	1	408.718234365265	1	119.20645206841	1	191.975806261844	1	1
C1QA	1	1	1	1	1	4458.28712962647	1	1
C1QB	1	1	1	1	1	5582.53653538681	1	1
C1QC	1	1	1	1	1	5631.09968624734	1	1
C1QTNF1	1	91.3393114769894	1	213.742961285178	1	1	1	1
C1R	1	1	1	1405.62638736697	102.818702683267	1	1	1
C1RL	1	1	1	156.452769719261	84.9842509592055	1	1	1
C1S	1	1	1	2827.40862297247	569.612897560047	1	1	1
C2	1	1	1	1	1	105.387813012558	1	1
C21orf91	170.426707231719	71.2948572745736	1	1	88.1466161316774	1	355.173984708182	1
C2orf40	1	122.503330637958	1	1	1	1	1	1
C2orf74	1	1	1	1	115.134310902966	1	1	1
C3	1	1	1	1775.81011391351	251.930907600614	249.924847988437	1	1
C3AR1	1	1	1	1	1	227.195617361396	304.955026184614	1
C3orf14	1	1	1	1	195.611189936388	1	1	1
C3orf58	1	1	1	1	1	1	1	211.388897928055
C5AR1	1	1	1	1	1	546.831064763159	1	1
C6orf132	1	1	1	1	145.104116691984	1	1	1
C6orf226	1	1	1	1	148.291268850509	1	1	1
C7	1	152.779500972538	1	1	1	1	1	1
C7orf26	1	1	1	1	1	1	1	79.209043034094
C7orf31	1	1	1	1	1	1	1	72.2591232154462
C8orf82	1	1	1	1	97.1897347589568	1	1	1
C9orf72	1	1	1	1	1	105.709358816952	1	1
CA12	1	1	1	1	174.73371838712	1	1	1
CA2	1	136.202567984716	1	1	1	1	1	1
CA4	1	557.696251417385	1	1	1	1	1	1
CA8	1	1	1	1	171.498695992072	1	1	1
CABIN1	205.42804251208	85.3715812960422	1	97.3715294611686	63.7724585118784	1	1	1
CALB2	1	1	1	1	90.8958693439122	1	675.721523853927	1
CALCRL	1	1138.86042157063	1	1	1	1	1	112.715561956326
CALD1	1	909.943498503537	1	4177.20098650136	1344.80669938378	1	1	1
CALHM2	182.919423351396	136.03411329756	1	153.672951551693	1	102.480473763489	1	1
CALHM6	1	1	248.02023745328	1	1	610.648117915508	1	299.133535622274
CALML5	1	1	1	1	324.467796809352	1	1	1
CAMK1	1	76.5280952050981	1	81.2363889127359	1	173.573102991657	1	1
CAMK1D	1	64.1305224393762	210.933168677989	1	60.0391825091059	79.0981031305185	1	1
CAMK2G	1	78.1340321245999	1	72.8592107522935	58.6264601774733	1	177.023308194028	1
CAMK2N1	1	1	1	86.4364519912407	1	1	1	1
CAMK4	431.218976908892	1	1	1	1	1	1	1
CAMTA2	1	1	1	85.3474713644806	1	1	1	1
CAP2	1	1	1	1	103.573965340676	1	1	1
CAPN15	1	1	1	1	1	1	1	168.525484179707
CAPN8	1	1	1	1	118.273432566571	1	1	1
CARD10	1	91.6237823509781	1	1	1	1	1	1
CARD11	1	1	1	1	1	1	1	626.751605382515
CARD16	661.677476663755	250.475326838648	222.51603811108	1	1	335.620528608409	769.350150038617	123.324502551295
