"B_cell","Cancer_cell","Endothelial_cell","Fibroblast","Mast_cell","Myeloid_cell","pDC","T_cell"
"AC008522.1",-0.032,0.2,0.231,0.415,-0.302,-0.184,-0.302,-0.026
"AC008543.1",-0.513,0.497,2.189,-0.158,-0.546,-0.475,-0.568,-0.426
"AC008555.5",0.555,0.13,1.198,-1.121,-0.589,-1.345,-1.26,2.432
"AC008556.1",-0.583,2.003,1.097,0.34,-0.706,-0.673,-0.754,-0.723
"AC008608.2",-0.462,0.564,0.077,0.262,-0.144,-0.146,-0.453,0.304
"AC008610.1",-0.176,0.668,-0.099,0.13,-0.309,-0.181,-0.335,0.303
"AC008637.1",-0.155,0.415,-0.041,0.048,0.064,-0.1,-0.155,-0.077
"AC008691.1",1.012,-0.015,-0.226,-0.137,-0.276,-0.08,-0.276,-0.003
"AC008735.2",-0.168,0.03,0.091,0.023,-0.142,-0.108,-0.027,0.301
"AC008741.2",-0.017,0.522,0.243,0.209,-0.439,-0.057,-0.505,0.045
"AC008750.8",-0.178,-0.091,-0.185,0.575,-0.051,-0.121,-0.177,0.228
"AC008758.4",-0.118,0.048,0.539,0.261,-0.278,-0.03,-0.35,-0.073
"AC008763.1",-0.032,1.507,-0.59,-0.656,0.039,-0.087,-0.545,0.365
"AC008764.6",0.055,0.09,-0.331,-0.073,-0.284,-0.358,0.648,0.253
"AC008764.8",-0.047,0.063,0.1,0.083,-0.458,-0.209,-0.336,0.804
"AC008771.1",-0.92,3.422,0.566,0.705,-0.771,-0.636,-1.572,-0.794
"AC008840.1",-0.459,-0.066,-0.479,0.771,1.049,0.172,-0.562,-0.427
"AC008894.2",-0.01,0.089,-0.012,-0.005,-0.158,0.156,-0.175,0.116
"AC008914.1",-0.288,0.16,0.514,0.404,-0.404,-0.18,-0.272,0.066
"AC008915.2",-0.986,1.25,1.031,0.76,-0.734,0.616,-1.364,-0.572
"AC008945.1",-0.961,0.445,0.506,1.648,-0.985,1.074,-0.852,-0.875
"AC008957.1",1.083,-0.844,-0.783,-0.872,0.272,0.535,0.773,-0.165
"AC008966.1",-0.259,0.975,0.219,0.654,-0.763,-0.106,-0.773,0.054
"AC009005.1",-0.478,0.964,0.167,-0.753,-0.712,0.892,0.221,-0.301
"AC009021.1",-0.123,-0.112,0.257,0.023,-0.133,0.049,-0.086,0.125
"AC009041.1",-0.134,-0.084,-0.121,-0.155,-0.155,-0.133,-0.098,0.879
"AC009041.2",-0.426,0.789,1.689,0.455,-0.871,-0.726,-0.945,0.035
"AC009053.2",0.141,0.172,0.041,0.326,-0.356,-0.197,-0.482,0.355
"AC009061.2",0.414,0.239,0.082,-0.314,-0.967,-0.194,-0.276,1.015
"AC009065.4",-0.232,1.262,0.355,0.763,-1.083,-0.044,-1.163,0.142
"AC009093.1",-0.309,-0.243,-0.27,1.971,-0.396,-0.04,-0.381,-0.332
"AC009093.2",-0.534,-0.604,-0.347,0.319,-0.588,1.662,-0.349,0.441
"AC009113.1",-0.193,0.785,0.42,0.969,-0.939,-0.259,-1.195,0.412
"AC009118.2",-0.093,0.753,0.434,-0.193,-0.415,-0.181,-0.23,-0.074
"AC009118.3",-0.106,0.356,0.296,0.181,-0.316,-0.224,-0.383,0.196
"AC009119.1",0.235,1.083,-0.5,-0.469,-0.439,0.649,-0.105,-0.454
"AC009126.1",0.396,0.149,-0.062,0.139,-1.004,-0.173,-0.599,1.153
"AC009133.1",0.172,0.738,-0.558,0.302,-1.108,0.084,-0.384,0.754
"AC009133.3",0.793,-0.336,-0.345,-0.344,-0.22,-0.304,-0.266,1.022
"AC009163.7",-0.099,0.185,0.303,0.264,-0.304,-0.178,-0.331,0.16
"AC009237.14",-0.148,1.573,0.286,0.68,-1.121,-0.454,-0.831,0.015
"AC009275.1",-0.269,0.078,-0.301,0.889,-0.2,0.531,-0.563,-0.165
"AC009283.1",-0.329,0.69,0.416,0.417,-0.668,-0.043,-0.58,0.096
"AC009309.1",-0.061,0.969,0.13,0.182,-0.813,-0.157,-0.767,0.516
"AC009318.1",-0.057,0.16,0.089,-0.007,-0.201,-0.152,0.062,0.105
"AC009318.2",-0.136,0.021,0.121,0.077,-0.039,-0.104,0.184,-0.123
"AC009318.3",-0.126,0.047,0.062,0.12,-0.019,-0.034,-0.148,0.098
"AC009403.1",0.517,0.56,-0.004,-0.284,-1.103,0.099,-0.404,0.619
"AC009404.1",-0.158,0.09,0.142,0.59,-1.005,0.03,0.419,-0.109
"AC009506.1",-1.063,1.047,0.529,0.865,-0.634,0.968,-0.454,-1.259
"AC009630.1",0.293,0.133,0.087,0.125,-0.291,-0.248,-0.071,-0.029
"AC009690.2",-0.083,-0.004,-0.026,0.04,-0.378,0.327,-0.109,0.233
"AC009779.2",-0.314,0.875,0.402,0.649,-0.844,0.64,-1.654,0.245
"AC009779.3",-0.309,-0.022,0.174,0.167,-0.477,0.193,0.052,0.222
"AC009812.1",0.034,0.059,0.476,-0.031,-0.533,0.084,-0.081,-0.009
"AC009812.4",-0.202,0.177,0.35,0.254,-0.369,-0.023,0.038,-0.227
"AC009831.1",0.12,0.016,-0.241,-0.244,-0.746,-0.305,0.643,0.757
"AC009948.1",-0.799,-0.37,1.246,0.515,-1.304,0.928,-0.131,-0.085
"AC009961.1",-0.486,0.224,0.387,0.242,-0.823,-0.162,0.033,0.585
"AC010173.1",-0.266,-0.223,0.19,0.082,-0.307,0.503,0.307,-0.286
"AC010198.1",-0.189,0.175,-0.068,0.33,-0.124,-0.083,-0.102,0.061
"AC010226.1",0.642,-0.507,0.02,1.431,-0.853,-0.062,-0.153,-0.519
"AC010240.3",-0.004,0.006,-0.085,-0.07,0.184,0.11,-0.126,-0.016
"AC010245.2",-0.208,-0.035,0.344,0.343,-0.015,-0.1,-0.213,-0.117
"AC010247.2",0.316,-0.122,-0.107,-0.118,-0.131,0.054,-0.087,0.196
"AC010331.1",-0.344,0.59,0.382,0.456,-0.449,-0.265,-0.661,0.291
"AC010491.1",0.198,0.377,-0.05,0.033,-0.462,-0.258,0.111,0.051
"AC010504.1",-0.092,0.27,0.027,0.011,-0.104,-0.002,-0.168,0.057
"AC010522.1",0.021,0.492,0.036,0.399,-0.415,-0.277,-0.478,0.223
"AC010531.6",0.084,1.063,-0.091,0.307,-0.719,-0.293,-0.535,0.183
"AC010618.3",-0.595,0.232,0.472,0.512,-0.859,-0.175,0.065,0.348
"AC010642.2",-0.441,1.197,0.784,0.788,-1.941,-0.444,-0.707,0.763
"AC010654.1",-0.017,0.46,-0.522,0.097,-1.077,0.842,-0.403,0.619
"AC010680.2",-0.002,0.127,0.16,0.095,-0.175,-0.035,-0.041,-0.13
"AC010809.2",-0.187,-0.045,0.218,0.252,-0.258,-0.146,0.332,-0.165
"AC010864.1",-0.1,0.44,-0.224,0.725,-0.543,0.114,-0.525,0.114
"AC010894.2",-0.298,0.979,0.025,0.093,-0.479,0.254,-0.419,-0.156
"AC010931.2",-0.253,-0.183,1.067,0.351,-0.253,-0.232,-0.253,-0.245
"AC010969.2",-0.728,0.275,0.775,0.443,-0.894,0.269,-0.382,0.242
"AC010976.2",-0.292,-0.289,2.002,-0.254,-0.292,-0.291,-0.292,-0.292
"AC011043.1",-0.843,0.88,1.244,0.868,-0.449,-0.264,-1.075,-0.361
"AC011247.1",-0.348,1.676,-0.198,0.279,-0.43,-0.336,-0.292,-0.352
"AC011337.1",-0.051,-0.104,-0.062,0.118,-0.178,0.45,-0.178,0.006
"AC011446.2",0.043,0.155,0.185,-0.146,-0.469,0.804,-0.817,0.244
"AC011447.3",-0.327,1.176,1.209,0.064,-1.018,-0.277,-0.863,0.035
"AC011450.1",0.566,-0.294,-0.269,0.099,-0.282,-0.06,-0.181,0.421
"AC011468.5",-0.219,0.401,0.001,0.232,-0.307,-0.15,-0.369,0.412
"AC011472.1",-0.188,0.142,-0.085,0.47,0.192,-0.158,-0.196,-0.177
"AC011484.1",-0.276,-0.035,0.66,0.461,-0.261,0.012,-0.312,-0.249
